compromised_nodes,is_success
[1],0
[1],0
[8],0
[8],0
[8],0
[10],0
[11],0
[5],0
[4],0
[8],0
[5],0
[0],0
[6],0
[6],0
[9],0
[6],0
[0],0
[4],0
[4],0
[6],0
[1],0
[10],0
[5],0
[5],0
[9],0
[9],0
[10],0
[0],0
[6],0
[7],1
[5],0
[0],0
[11],0
[11],0
[11],0
[5],0
[9],0
[5],0
[7],1
[10],0
[11],0
[11],0
[4],0
[1],0
[4],0
[5],0
[0],0
[4],0
[6],0
[11],0
[7],1
[4],0
[6],0
[10],0
[4],0
[4],0
[7],0
[5],0
[11],0
[10],0
[6],0
[6],0
[5],0
[7],0
[1],0
[0],0
[9],0
[8],0
[11],0
[10],0
[10],0
[11],0
[6],0
[4],0
[6],0
[0],0
[8],0
[7],1
[4],0
[0],0
[4],0
[6],0
[7],0
[4],0
[1],0
[4],0
[6],0
[4],0
[9],0
[0],0
[11],0
[10],0
[5],0
[4],0
[0],0
[11],0
[1],0
[5],0
[10],0
[8],0
[10],0
[5],0
[7],0
[0],0
[4],0
[4],0
[5],0
[9],0
[5],0
[1],0
[1],0
[5],0
[0],0
[10],0
[1],0
[1],0
[9],0
[1],0
[10],0
[11],0
[10],0
[0],0
[1],0
[4],0
[5],0
[11],0
[6],0
[10],0
[1],0
[10],0
[0],0
[4],0
[11],0
[8],0
[8],0
[8],0
[6],0
[10],0
[7],0
[5],0
[1],0
[0],0
[9],0
[11],0
[10],0
[10],0
[1],0
[10],0
[1],0
[10],0
[6],0
[7],0
[8],0
[7],0
[8],0
[0],0
[8],0
[1],0
[5],0
[11],0
[0],0
[5],0
[5],0
[11],0
[9],0
[7],1
[10],0
[4],0
[10],0
[0],0
[7],0
[8],0
[10],0
[11],0
[11],0
[10],0
[6],0
[5],0
[10],0
[7],0
[6],0
[0],0
[6],0
[11],0
[10],0
[7],0
[6],0
[6],0
[10],0
[0],0
[9],0
[10],0
[9],0
[1],0
[1],0
[0],0
[5],0
[1],0
[7],1
[11],0
[4],0
[11],0
[4],0
[1],0
[7],1
[0],0
[11],0
[5],0
[11],0
[1],0
[8],0
[10],0
[7],1
[5],0
[1],0
[1],0
[1],0
[6],0
[5],0
[10],0
[8],0
[1],0
[9],0
[0],0
[4],0
[6],0
[1],0
[8],0
[1],0
[0],0
[9],0
[4],0
[1],0
[5],0
[6],0
[0],0
[9],0
[9],0
[10],0
[9],0
[10],0
[7],1
[0],0
[5],0
[5],0
[7],1
[10],0
[6],0
[5],0
[10],0
[9],0
[8],0
[5],0
[7],0
[4],0
[5],0
[0],0
[10],0
[5],0
[6],0
[0],0
[9],0
[4],0
[11],0
[9],0
[10],0
[6],0
[8],0
[5],0
[7],1
[5],0
[8],0
[8],0
[9],0
[5],0
[5],0
[6],0
[0],0
[11],0
[0],0
[6],0
[1],0
[8],0
[6],0
[11],0
[5],0
[0],0
[5],0
[8],0
[0],0
[7],0
[8],0
[9],0
[11],0
[9],0
[8],0
[8],0
[4],0
[10],0
[4],0
[6],0
[1],0
[7],0
[9],0
[5],0
[6],0
[4],0
[4],0
[10],0
[7],1
[8],0
[1],0
[10],0
[5],0
[4],0
[8],0
[11],0
[6],0
[0],0
[5],0
[9],0
[8],0
[0],0
[0],0
[4],0
[1],0
[6],0
[6],0
[5],0
[9],0
[4],0
[5],0
[11],0
[6],0
[8],0
[5],0
[0],0
[9],0
[1],0
[8],0
[4],0
[7],1
[5],0
[10],0
[8],0
[7],1
[10],0
[7],1
[6],0
[4],0
[6],0
[4],0
[5],0
[6],0
[9],0
[0],0
[0],0
[0],0
[11],0
[0],0
[9],0
[8],0
[5],0
[11],0
[0],0
[11],0
[0],0
[8],0
[7],1
[6],0
[6],0
[7],0
[7],0
[4],0
[9],0
[9],0
[1],0
[4],0
[11],0
[8],0
[6],0
[1],0
[8],0
[4],0
[0],0
[0],0
[4],0
[9],0
[0],0
[0],0
[10],0
[10],0
[7],0
[8],0
[7],1
[6],0
[1],0
[0],0
[11],0
[4],0
[5],0
[11],0
[1],0
[7],1
[6],0
[1],0
[8],0
[10],0
[5],0
[9],0
[7],0
[7],1
[6],0
[0],0
[7],0
[8],0
[9],0
[11],0
[5],0
[0],0
[11],0
[8],0
[7],1
[9],0
[7],0
[1],0
[5],0
[5],0
[4],0
[5],0
[1],0
[5],0
[6],0
[8],0
[11],0
[0],0
[9],0
[9],0
[9],0
[0],0
[11],0
[9],0
[7],1
[0],0
[4],0
[6],0
[8],0
[1],0
[6],0
[11],0
[6],0
[8],0
[6],0
[7],1
[9],0
[7],1
[0],0
[4],0
[10],0
[5],0
[6],0
[1],0
[6],0
[7],1
[10],0
[0],0
[10],0
[10],0
[9],0
[11],0
[1],0
[8],0
[11],0
[7],0
[5],0
[5],0
[6],0
[7],1
[7],1
[10],0
[9],0
[10],0
[7],1
[6],0
[9],0
[1],0
[6],0
[1],0
[0],0
[0],0
[0],0
[11],0
[1],0
[7],1
[9],0
[6],0
[0],0
[11],0
[6],0
[0],0
[5],0
[9],0
[6],0
[10],0
[0],0
[10],0
[0],0
[5],0
[0],0
[6],0
[4],0
[8],0
[1],0
[9],0
[6],0
[10],0
[1],0
[8],0
[5],0
[8],0
[7],0
[1],0
[0],0
[5],0
[7],1
[7],0
[1],0
[8],0
[11],0
[1],0
[4],0
[6],0
[4],0
[0],0
[6],0
[7],0
[5],0
[4],0
[4],0
[7],1
[10],0
[9],0
[8],0
[7],0
[11],0
[11],0
[8],0
[0],0
[8],0
[5],0
[6],0
[0],0
[7],1
[8],0
[0],0
[6],0
[4],0
[9],0
[0],0
[10],0
[0],0
[6],0
[8],0
[0],0
[1],0
[7],0
[9],0
[11],0
[1],0
[6],0
[11],0
[7],1
[10],0
[9],0
[6],0
[5],0
[1],0
[6],0
[8],0
[1],0
[5],0
[9],0
[9],0
[10],0
[6],0
[5],0
[7],0
[9],0
[11],0
[11],0
[10],0
[11],0
[8],0
[10],0
[1],0
[9],0
[5],0
[8],0
[10],0
[6],0
[5],0
[5],0
[0],0
[8],0
[8],0
[10],0
[5],0
[4],0
[0],0
[4],0
[10],0
[11],0
[4],0
[7],1
[1],0
[6],0
[10],0
[6],0
[9],0
[4],0
[5],0
[8],0
[11],0
[7],0
[11],0
[5],0
[6],0
[0],0
[11],0
[10],0
[8],0
[1],0
[10],0
[11],0
[9],0
[0],0
[10],0
[11],0
[7],0
[7],0
[8],0
[1],0
[9],0
[1],0
[1],0
[6],0
[6],0
[4],0
[11],0
[5],0
[10],0
[6],0
[8],0
[9],0
[7],0
[7],0
[7],1
[9],0
[0],0
[9],0
[1],0
[10],0
[8],0
[9],0
[10],0
[5],0
[9],0
[11],0
[7],0
[4],0
[4],0
[8],0
[6],0
[1],0
[10],0
[11],0
[4],0
[1],0
[4],0
[11],0
[9],0
[0],0
[8],0
[1],0
[11],0
[7],1
[10],0
[7],1
[8],0
[9],0
[6],0
[10],0
[0],0
[11],0
[11],0
[8],0
[1],0
[9],0
[6],0
[9],0
[5],0
[7],1
[6],0
[11],0
[8],0
[8],0
[4],0
[10],0
[11],0
[6],0
[1],0
[11],0
[0],0
[11],0
[7],1
[10],0
[0],0
[9],0
[11],0
[6],0
[1],0
[6],0
[11],0
[8],0
[7],0
[8],0
[5],0
[1],0
[8],0
[4],0
[7],0
[8],0
[5],0
[10],0
[9],0
[9],0
[4],0
[6],0
[7],0
[10],0
[9],0
[4],0
[4],0
[10],0
[9],0
[4],0
[6],0
[1],0
[11],0
[11],0
[5],0
[7],0
[9],0
[6],0
[8],0
[9],0
[10],0
[1],0
[6],0
[9],0
[5],0
[8],0
[0],0
[1],0
[10],0
[11],0
[6],0
[0],0
[4],0
[0],0
[1],0
[6],0
[10],0
[8],0
[10],0
[7],0
[0],0
[5],0
[7],1
[7],0
[5],0
[1],0
[9],0
[4],0
[1],0
[4],0
[9],0
[1],0
[10],0
[6],0
[11],0
[1],0
[8],0
[0],0
[7],0
[6],0
[6],0
[5],0
[9],0
[5],0
[10],0
[11],0
[4],0
[0],0
[11],0
[11],0
[11],0
[1],0
[10],0
[5],0
[8],0
[5],0
[8],0
[10],0
[7],0
[7],0
[8],0
[4],0
[0],0
[11],0
[10],0
[1],0
[8],0
[8],0
[9],0
[7],0
[8],0
[10],0
[11],0
[10],0
[11],0
[0],0
[5],0
[5],0
[7],0
[5],0
[0],0
[7],0
[4],0
[1],0
[8],0
[0],0
[6],0
[6],0
[10],0
[7],1
[4],0
[5],0
[4],0
[6],0
[8],0
[8],0
[11],0
[6],0
[5],0
[5],0
[0],0
[6],0
[1],0
[6],0
[10],0
[4],0
[11],0
[8],0
[7],0
[11],0
[1],0
[5],0
[7],0
[8],0
[10],0
[1],0
[8],0
[9],0
[1],0
[0],0
[5],0
[10],0
[7],1
[1],0
[7],0
[7],1
[1],0
[1],0
[5],0
[6],0
[6],0
[1],0
[5],0
[6],0
[9],0
[7],0
[4],0
[4],0
[7],1
[0],0
[1],0
[4],0
[5],0
[5],0
[4],0
[9],0
[5],0
[11],0
[8],0
[8],0
[7],1
[11],0
[8],0
[5],0
[8],0
[5],0
[10],0
[4],0
[6],0
[1],0
[8],0
[5],0
[5],0
[6],0
[1],0
[4],0
[8],0
[6],0
[0],0
[0],0
[7],1
[4],0
[10],0
[7],0
[5],0
[5],0
[9],0
[0],0
[9],0
[9],0
[1],0
[4],0
[0],0
[9],0
[11],0
[6],0
[7],0
[1],0
[0],0
[0],0
[0],0
[6],0
[1],0
[11],0
[0],0
[5],0
[10],0
[10],0
[11],0
[11],0
[1],0
[4],0
[5],0
[9],0
[6],0
[10],0
[11],0
[9],0
[5],0
[6],0
[6],0
[7],0
[10],0
[8],0
[0],0
[6],0
[5],0
[5],0
[9],0
[6],0
[8],0
[1],0
[1],0
[5],0
[4],0
[6],0
[4],0
[6],0
[7],1
[0],0
[7],0
[5],0
[0],0
[5],0
[6],0
[5],0
[6],0
[10],0
[7],0
[4],0
[4],0
[11],0
[9],0
[7],0
[8],0
[0],0
[10],0
[1],0
[8],0
[5],0
[1],0
[6],0
[5],0
[8],0
[9],0
[7],0
[0],0
[1],0
[9],0
[8],0
[6],0
[4],0
[11],0
[9],0
[8],0
[4],0
[9],0
[11],0
[5],0
[11],0
[5],0
[6],0
[11],0
[0],0
[5],0
[4],0
[10],0
[1],0
[5],0
[7],1
[5],0
[7],0
[9],0
[1],0
[4],0
[1],0
[4],0
[9],0
[0],0
[10],0
[7],1
[8],0
[11],0
[10],0
[8],0
[7],1
[7],0
[0],0
[0],0
[7],0
[6],0
[8],0
[8],0
[0],0
[0],0
[6],0
[8],0
[11],0
[11],0
[8],0
[9],0
[5],0
[1],0
[0],0
[5],0
[7],0
[6],0
[10],0
[8],0
[9],0
[10],0
[4],0
[11],0
[1],0
[7],0
[7],0
[5],0
[5],0
[5],0
[11],0
[1],0
[0],0
[9],0
[10],0
[10],0
[6],0
[4],0
[9],0
[10],0
[1],0
[8],0
[1],0
[10],0
[4],0
[0],0
[4],0
[5],0
[8],0
[0],0
[8],0
[8],0
[9],0
[10],0
[10],0
[1],0
[5],0
[4],0
[1],0
[5],0
[4],0
[11],0
[4],0
[11],0
[5],0
[7],0
[10],0
[7],0
[7],0
[9],0
[9],0
[10],0
[9],0
[1],0
[5],0
[7],0
[7],1
[8],0
[8],0
[1],0
[8],0
[7],1
[11],0
[8],0
[11],0
[8],0
[9],0
[9],0
[10],0
[11],0
[1],0
[10],0
[11],0
[6],0
[8],0
[10],0
[4],0
[7],1
[1],0
[4],0
[8],0
[8],0
[10],0
[10],0
[6],0
[7],0
[9],0
[10],0
[4],0
[10],0
[11],0
[10],0
[11],0
[8],0
[6],0
[7],1
[9],0
[4],0
[0],0
[0],0
[5],0
[8],0
[6],0
[11],0
[4],0
[9],0
[8],0
[6],0
[4],0
[11],0
[6],0
[9],0
[1],0
[4],0
[0],0
[10],0
[11],0
[6],0
[11],0
[5],0
[7],0
[10],0
[5],0
[11],0
[9],0
[0],0
[1],0
[0],0
[6],0
[0],0
[8],0
[4],0
[11],0
[0],0
[0],0
[10],0
[4],0
[7],0
[11],0
[11],0
[10],0
[5],0
[10],0
[9],0
[0],0
[6],0
[1],0
[9],0
[0],0
[9],0
[4],0
[1],0
[9],0
[0],0
[9],0
[5],0
[10],0
[10],0
[10],0
[6],0
[7],0
[1],0
[10],0
[8],0
[6],0
[11],0
[9],0
[6],0
[11],0
[0],0
[5],0
[6],0
[8],0
[1],0
[1],0
[8],0
[7],0
[7],1
[11],0
[6],0
[9],0
[6],0
[5],0
[5],0
[6],0
[1],0
[8],0
[5],0
[6],0
[5],0
[4],0
[8],0
[1],0
[0],0
[10],0
[0],0
[10],0
[11],0
[9],0
[11],0
[6],0
[11],0
[5],0
[5],0
[8],0
[9],0
[5],0
[9],0
[1],0
[8],0
[1],0
[0],0
[6],0
[9],0
[11],0
[5],0
[10],0
[11],0
[11],0
[1],0
[4],0
[8],0
[1],0
[6],0
[10],0
[1],0
[5],0
[4],0
[4],0
[9],0
[8],0
[10],0
[4],0
[9],0
[9],0
[7],0
[7],0
[4],0
[8],0
[0],0
[0],0
[0],0
[0],0
[1],0
[4],0
[9],0
[6],0
[5],0
[10],0
[7],0
[1],0
[5],0
[10],0
[4],0
[6],0
[0],0
[10],0
[1],0
[7],0
[4],0
[8],0
[0],0
[9],0
[7],0
[6],0
[9],0
[0],0
[11],0
[0],0
[4],0
[6],0
[10],0
[5],0
[8],0
[8],0
[1],0
[6],0
[7],1
[11],0
[6],0
[8],0
[6],0
[1],0
[6],0
[6],0
[8],0
[5],0
[11],0
[10],0
[5],0
[10],0
[10],0
[11],0
[5],0
[11],0
[5],0
[1],0
[7],1
[11],0
[11],0
[7],0
[0],0
[5],0
[5],0
[8],0
[4],0
[9],0
[0],0
[9],0
[9],0
[9],0
[5],0
[7],1
[10],0
[0],0
[4],0
[11],0
[0],0
[0],0
[10],0
[6],0
[4],0
[5],0
[1],0
[5],0
[4],0
[9],0
[10],0
[10],0
[11],0
[4],0
[11],0
[10],0
[6],0
[6],0
[9],0
[6],0
[9],0
[4],0
[5],0
[6],0
[0],0
[1],0
[0],0
[8],0
[6],0
[5],0
[1],0
[7],1
[4],0
[8],0
[7],0
[9],0
[1],0
[4],0
[4],0
[6],0
[7],1
[11],0
[10],0
[11],0
[8],0
[9],0
[1],0
[10],0
[8],0
[0],0
[6],0
[6],0
[10],0
[7],1
[10],0
[5],0
[0],0
[0],0
[8],0
[4],0
[7],0
[4],0
[11],0
[6],0
[8],0
[7],1
[5],0
[4],0
[7],0
[9],0
[7],0
[0],0
[6],0
[10],0
[1],0
[10],0
[11],0
[1],0
[0],0
[7],1
[0],0
[4],0
[9],0
[6],0
[10],0
[0],0
[10],0
[4],0
[7],0
[0],0
[6],0
[7],0
[6],0
[0],0
[10],0
[9],0
[6],0
[0],0
[6],0
[0],0
[1],0
[10],0
[1],0
[9],0
[6],0
[11],0
[1],0
[6],0
[4],0
[7],0
[9],0
[1],0
[8],0
[5],0
[11],0
[11],0
[6],0
[4],0
[0],0
[8],0
[10],0
[4],0
[0],0
[9],0
[0],0
[5],0
[10],0
[10],0
[0],0
[11],0
[5],0
[6],0
[10],0
[7],1
[0],0
[0],0
[1],0
[6],0
[8],0
[6],0
[10],0
[8],0
[8],0
[10],0
[7],0
[5],0
[10],0
[5],0
[1],0
[9],0
[11],0
[6],0
[9],0
[7],0
[7],1
[8],0
[10],0
[1],0
[7],1
[6],0
[5],0
[8],0
[0],0
[7],1
[10],0
[9],0
[10],0
[11],0
[5],0
[7],0
[7],1
[1],0
[0],0
[7],0
[6],0
[8],0
[6],0
[11],0
[6],0
[7],1
[11],0
[8],0
[4],0
[8],0
[0],0
[11],0
[9],0
[7],0
[4],0
[8],0
[11],0
[11],0
[8],0
[0],0
[1],0
[7],1
[8],0
[7],1
[1],0
[11],0
[9],0
[10],0
[8],0
[9],0
[11],0
[1],0
[6],0
[6],0
[11],0
[11],0
[7],0
[10],0
[1],0
[10],0
[1],0
[8],0
[8],0
[4],0
[5],0
[10],0
[5],0
[9],0
[8],0
[4],0
[1],0
[11],0
[9],0
[9],0
[10],0
[10],0
[4],0
[8],0
[11],0
[1],0
[10],0
[11],0
[4],0
[10],0
[4],0
[5],0
[5],0
[7],1
[5],0
[11],0
[7],1
[8],0
[9],0
[0],0
[7],1
[8],0
[11],0
[4],0
[10],0
[0],0
[10],0
[9],0
[5],0
[10],0
[0],0
[10],0
[4],0
[10],0
[7],0
[9],0
[6],0
[6],0
[8],0
[0],0
[4],0
[4],0
[6],0
[9],0
[6],0
[7],1
[4],0
[7],0
[5],0
[10],0
[7],1
[0],0
[4],0
[7],0
[9],0
[10],0
[0],0
[4],0
[10],0
[7],0
[7],1
[8],0
[4],0
[7],0
[4],0
[8],0
[5],0
[1],0
[8],0
[9],0
[10],0
[5],0
[11],0
[0],0
[11],0
[7],1
[11],0
[6],0
[5],0
[9],0
[5],0
[6],0
[8],0
[6],0
[11],0
[7],1
[9],0
[8],0
[10],0
[6],0
[5],0
[1],0
[0],0
[5],0
[8],0
[0],0
[11],0
[11],0
[5],0
[7],0
[4],0
[6],0
[10],0
[5],0
[11],0
[0],0
[10],0
[7],0
[8],0
[9],0
[5],0
[10],0
[10],0
[5],0
[7],0
[11],0
[0],0
[7],1
[9],0
[4],0
[10],0
[1],0
[5],0
[10],0
[1],0
[1],0
[4],0
[6],0
[1],0
[7],0
[8],0
[8],0
[8],0
[5],0
[5],0
[10],0
[1],0
[11],0
[1],0
[1],0
[11],0
[5],0
[1],0
[6],0
[1],0
[1],0
[6],0
[9],0
[0],0
[10],0
[7],0
[5],0
[0],0
[9],0
[1],0
[5],0
[7],0
[8],0
[6],0
[9],0
[0],0
[6],0
[0],0
[10],0
[5],0
[9],0
[8],0
[6],0
[9],0
[9],0
[0],0
[0],0
[8],0
[9],0
[5],0
[9],0
[10],0
[4],0
[5],0
[7],0
[1],0
[7],0
[10],0
[4],0
[6],0
[4],0
[6],0
[11],0
[9],0
[1],0
[5],0
[11],0
[9],0
[8],0
[11],0
[9],0
[0],0
[0],0
[10],0
[0],0
[6],0
[7],0
[1],0
[7],0
[7],0
[9],0
[10],0
[6],0
[11],0
[7],1
[11],0
[5],0
[8],0
[5],0
[1],0
[7],0
[6],0
[11],0
[10],0
[1],0
[9],0
[10],0
[0],0
[9],0
[5],0
[4],0
[6],0
[1],0
[6],0
[8],0
[5],0
[4],0
[5],0
[7],1
[8],0
[10],0
[9],0
[7],0
[0],0
[0],0
[11],0
[9],0
[5],0
[7],0
[9],0
[9],0
[10],0
[1],0
[8],0
[8],0
[5],0
[1],0
[5],0
[1],0
[11],0
[6],0
[0],0
[6],0
[4],0
[8],0
[10],0
[6],0
[10],0
[4],0
[4],0
[0],0
[0],0
[9],0
[11],0
[0],0
[10],0
[5],0
[9],0
[6],0
[8],0
[4],0
[0],0
[1],0
[1],0
[0],0
[5],0
[7],1
[1],0
[0],0
[9],0
[8],0
[11],0
[4],0
[9],0
[6],0
[10],0
[7],0
[7],1
[9],0
[5],0
[8],0
[8],0
[5],0
[8],0
[6],0
[6],0
[5],0
[0],0
[5],0
[7],1
[10],0
[7],0
[5],0
[7],1
[8],0
[1],0
[11],0
[7],0
[7],0
[0],0
[5],0
[11],0
[9],0
[8],0
[6],0
[0],0
[10],0
[5],0
[1],0
[11],0
[0],0
[4],0
[9],0
[5],0
[8],0
[9],0
[4],0
[4],0
[11],0
[1],0
[5],0
[6],0
[6],0
[9],0
[7],1
[9],0
[5],0
[5],0
[7],1
[10],0
[11],0
[1],0
[10],0
[0],0
[5],0
[9],0
[6],0
[1],0
[11],0
[0],0
[10],0
[4],0
[10],0
[10],0
[8],0
[0],0
[5],0
[10],0
[11],0
[9],0
[1],0
[7],1
[11],0
[4],0
[7],1
[1],0
[0],0
[6],0
[11],0
[9],0
[1],0
[6],0
[10],0
[8],0
[1],0
[4],0
[10],0
[10],0
[7],0
[9],0
[8],0
[4],0
[4],0
[11],0
[7],0
[4],0
[5],0
[7],0
[9],0
[8],0
[10],0
[4],0
[4],0
[1],0
[6],0
[8],0
[11],0
[9],0
[6],0
[11],0
[4],0
[5],0
[8],0
[6],0
[8],0
[0],0
[0],0
[6],0
[0],0
[5],0
[7],0
[1],0
[1],0
[0],0
[1],0
[0],0
[9],0
[10],0
[10],0
[7],0
[8],0
[1],0
[8],0
[7],1
[0],0
[1],0
[0],0
[7],0
[11],0
[6],0
[9],0
[11],0
[10],0
[0],0
[8],0
[9],0
[11],0
[7],1
[5],0
[7],0
[6],0
[10],0
[0],0
[0],0
[7],0
[5],0
[1],0
[8],0
[6],0
[8],0
[10],0
[4],0
[5],0
[8],0
[9],0
[11],0
[0],0
[8],0
[4],0
[10],0
[9],0
[4],0
[8],0
[11],0
[5],0
[1],0
[5],0
[5],0
[11],0
[6],0
[7],1
[5],0
[11],0
[1],0
[11],0
[11],0
[0],0
[7],0
[11],0
[6],0
[1],0
[7],0
[11],0
[6],0
[11],0
[1],0
[8],0
[8],0
[10],0
[4],0
[9],0
[5],0
[7],1
[0],0
[5],0
[8],0
[6],0
[8],0
[0],0
[6],0
[9],0
[6],0
[9],0
[0],0
[10],0
[7],0
[10],0
[6],0
[9],0
[8],0
[5],0
[9],0
[10],0
[5],0
[9],0
[9],0
[11],0
[4],0
[8],0
[0],0
[10],0
[8],0
[0],0
[8],0
[6],0
[9],0
[10],0
[6],0
[10],0
[0],0
[4],0
[5],0
[11],0
[1],0
[11],0
[1],0
[1],0
[10],0
[7],1
[9],0
[0],0
[6],0
[10],0
[7],0
[6],0
[6],0
[7],1
[6],0
[0],0
[10],0
[8],0
[1],0
[1],0
[8],0
[10],0
[1],0
[11],0
[0],0
[11],0
[5],0
[1],0
[11],0
[9],0
[0],0
[6],0
[9],0
[7],1
[8],0
[0],0
[7],1
[6],0
[5],0
[10],0
[5],0
[8],0
[8],0
[8],0
[11],0
[10],0
[9],0
[10],0
[11],0
[8],0
[4],0
[10],0
[11],0
[4],0
[0],0
[9],0
[8],0
[5],0
[4],0
[10],0
[6],0
[10],0
[1],0
[9],0
[4],0
[11],0
[7],0
[5],0
[1],0
[10],0
[5],0
[8],0
[9],0
[6],0
[7],0
[7],0
[10],0
[9],0
[6],0
[10],0
[8],0
[10],0
[8],0
[7],1
[7],0
[10],0
[1],0
[10],0
[5],0
[4],0
[7],0
[8],0
[4],0
[7],0
[4],0
[6],0
[1],0
[5],0
[10],0
[7],1
[5],0
[1],0
[5],0
[11],0
[4],0
[8],0
[8],0
[1],0
[5],0
[1],0
[10],0
[5],0
[0],0
[0],0
[4],0
[10],0
[1],0
[4],0
[5],0
[0],0
[4],0
[8],0
[9],0
[4],0
[9],0
[11],0
[11],0
[4],0
[1],0
[8],0
[9],0
[6],0
[8],0
[1],0
[6],0
[4],0
[7],1
[9],0
[8],0
[0],0
[10],0
[5],0
[8],0
[4],0
[7],0
[11],0
[5],0
[6],0
[1],0
[1],0
[9],0
[1],0
[9],0
[0],0
[7],1
[1],0
[9],0
[11],0
[1],0
[11],0
[4],0
[1],0
[8],0
[5],0
[1],0
[10],0
[1],0
[4],0
[0],0
[8],0
[6],0
[11],0
[5],0
[11],0
[8],0
[10],0
[1],0
[9],0
[11],0
[7],0
[8],0
[10],0
[0],0
[1],0
[4],0
[5],0
[4],0
[10],0
[7],1
[1],0
[1],0
[4],0
[7],0
[0],0
[4],0
[8],0
[1],0
[4],0
[9],0
[4],0
[0],0
[1],0
[6],0
[5],0
[10],0
[11],0
[4],0
[0],0
[9],0
[4],0
[4],0
[6],0
[7],1
[4],0
[10],0
[11],0
[10],0
[0],0
[10],0
[6],0
[5],0
[9],0
[5],0
[9],0
[7],0
[10],0
[5],0
[10],0
[10],0
[4],0
[8],0
[1],0
[10],0
[1],0
[8],0
[11],0
[5],0
[6],0
[10],0
[11],0
[1],0
[11],0
[10],0
[1],0
[1],0
[9],0
[0],0
[5],0
[4],0
[8],0
[0],0
[9],0
[5],0
[1],0
[10],0
[0],0
[8],0
[1],0
[7],0
[7],1
[0],0
[7],0
[7],1
[10],0
[6],0
[0],0
[6],0
[5],0
[6],0
[0],0
[10],0
[5],0
[5],0
[9],0
[1],0
[8],0
[5],0
[7],1
[11],0
[1],0
[0],0
[10],0
[0],0
[8],0
[1],0
[0],0
[8],0
[5],0
[10],0
[6],0
[9],0
[5],0
[6],0
[5],0
[5],0
[10],0
[4],0
[8],0
[1],0
[9],0
[7],0
[11],0
[9],0
[7],0
[10],0
[5],0
[1],0
[7],0
[6],0
[8],0
[7],0
[8],0
[1],0
[10],0
[8],0
[7],1
[9],0
[0],0
[1],0
[8],0
[4],0
[4],0
[1],0
[4],0
[6],0
[6],0
[11],0
[1],0
[8],0
[0],0
[5],0
[6],0
[8],0
[10],0
[8],0
[6],0
[10],0
[6],0
[10],0
[5],0
[8],0
[8],0
[10],0
[6],0
[9],0
[6],0
[0],0
[4],0
[4],0
[10],0
[10],0
[4],0
[7],0
[9],0
[1],0
[6],0
[6],0
[7],1
[9],0
[7],0
[1],0
[10],0
[10],0
[7],1
[6],0
[0],0
[9],0
[11],0
[7],1
[5],0
[0],0
[5],0
[7],0
[0],0
[8],0
[4],0
[7],1
[0],0
[4],0
[11],0
[9],0
[5],0
[9],0
[1],0
[8],0
[9],0
[7],0
[6],0
[1],0
[0],0
[5],0
[10],0
[9],0
[4],0
[0],0
[10],0
[11],0
[11],0
[4],0
[11],0
[6],0
[10],0
[5],0
[8],0
[1],0
[7],0
[6],0
[10],0
[5],0
[4],0
[5],0
[4],0
[8],0
[1],0
[4],0
[7],1
[4],0
[11],0
[7],1
[0],0
[0],0
[9],0
[6],0
[5],0
[4],0
[5],0
[8],0
[11],0
[10],0
[11],0
[0],0
[1],0
[7],1
[5],0
[8],0
[4],0
[0],0
[10],0
[0],0
[0],0
[6],0
[0],0
[11],0
[0],0
[7],1
[10],0
[5],0
[4],0
[1],0
[10],0
[9],0
[6],0
[0],0
[9],0
[6],0
[4],0
[4],0
[8],0
[0],0
[4],0
[1],0
[9],0
[10],0
[7],1
[6],0
[5],0
[5],0
[0],0
[10],0
[9],0
[7],0
[10],0
[10],0
[8],0
[0],0
[4],0
[11],0
[8],0
[9],0
[10],0
[1],0
[0],0
[0],0
[4],0
[11],0
[8],0
[9],0
[6],0
[11],0
[1],0
[6],0
[10],0
[9],0
[11],0
[4],0
[8],0
[8],0
[5],0
[7],0
[9],0
[10],0
[5],0
[0],0
[5],0
[6],0
[5],0
[8],0
[1],0
[0],0
[10],0
[0],0
[10],0
[9],0
[8],0
[5],0
[5],0
[1],0
[4],0
[0],0
[8],0
[6],0
[8],0
[0],0
[6],0
[4],0
[7],0
[7],1
[11],0
[1],0
[4],0
[8],0
[10],0
[4],0
[8],0
[6],0
[1],0
[0],0
[7],1
[10],0
[1],0
[0],0
[1],0
[5],0
[1],0
[8],0
[7],1
[11],0
[8],0
[8],0
[9],0
[9],0
[10],0
[10],0
[9],0
[5],0
[1],0
[8],0
[5],0
[10],0
[0],0
[5],0
[5],0
[4],0
[10],0
[9],0
[0],0
[1],0
[0],0
[5],0
[11],0
[9],0
[1],0
[10],0
[6],0
[1],0
[6],0
[9],0
[0],0
[11],0
[9],0
[10],0
[10],0
[6],0
[4],0
[10],0
[5],0
[0],0
[6],0
[5],0
[1],0
[5],0
[4],0
[5],0
[1],0
[5],0
[7],1
[0],0
[4],0
[8],0
[9],0
[10],0
[0],0
[11],0
[0],0
[1],0
[5],0
[7],0
[4],0
[6],0
[11],0
[9],0
[5],0
[5],0
[9],0
[6],0
[9],0
[0],0
[1],0
[10],0
[10],0
[0],0
[7],1
[6],0
[7],0
[7],1
[8],0
[9],0
[5],0
[0],0
[4],0
[7],1
[0],0
[4],0
[9],0
[5],0
[5],0
[1],0
[10],0
[6],0
